"name","pos","sourceName","name_espn","team_espn","positionRank","overallRank","points","passAtt","passComp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recYds","recTds"
"CHARLESCLAY","TE","espn","Charles Clay","BUF",9,31,"87.3",0,0,0,0,0,0,0,0,57.6,615.1,4.4
"NEWYORKGIANTS","DST","espn","New York Giants","NYG",10,32,"87.3",0,0,0,0,0,0,0,0,0,0,0
"NEWORLEANSSAINTS","DST","espn","New Orleans Saints","NO",11,33,"86.9",0,0,0,0,0,0,0,0,0,0,0
"MIKEWALLACE","WR","espn","Mike Wallace","BAL",8,34,"86.8",0,0,0,0,0,2,12.5,0.1,46.5,611.5,4.2
"TYLEREIFERT","TE","espn","Tyler Eifert","CIN",10,35,"86.5",0,0,0,0,0,0,0,0,50.1,572.9,4.9
"WASHINGTONREDSKINS","DST","espn","Washington Redskins","WAS",12,36,"86.3",0,0,0,0,0,0,0,0,0,0,0
"DWAYNEALLEN","TE","espn","Dwayne Allen","IND",11,37,"86.1",0,0,0,0,0,0,0,0,49.8,547.4,5.4
"RISHARDMATTHEWS","WR","espn","Rishard Matthews","TEN",9,38,"85.5",0,0,0,0,0,0,0,0,51.5,654.2,3.4
"SANDIEGOCHARGERS","DST","espn","San Diego Chargers","SD",13,39,"84.8",0,0,0,0,0,0,0,0,0,0,0
"JAMESSTARKS","RB","espn","James Starks","GB",6,40,"84",0,0,0,0,0,120.7,514.4,2.7,20.7,159.6,0.8
"JAYAJAYI","RB","espn","Jay Ajayi","MIA",7,41,"83.6",0,0,0,0,0,117.5,478.4,3.6,18,133.3,0.5
"TENNESSEETITANS","DST","espn","Tennessee Titans","TEN",14,42,"83.6",0,0,0,0,0,0,0,0,0,0,0
"SAMMIECOATES","WR","espn","Sammie Coates","PIT",10,43,"81.5",0,0,0,0,0,0,0,0,44,571.5,4
"MIAMIDOLPHINS","DST","espn","Miami Dolphins","MIA",15,44,"81.1",0,0,0,0,0,0,0,0,0,0,0
"MALCOLMBROWN","RB","espn","Malcolm Brown","LA",8,45,"8.5",0,0,0,0,0,12.8,48.4,0.4,3.4,26.4,0.1
"DAVIDJOHNSON","TE","espn","David Johnson","PIT",12,46,"8.2",0,0,0,0,0,0,0,0,5.2,55.7,0.5
"JERICKMCKINNON","RB","espn","Jerick McKinnon","MIN",9,47,"79.7",0,0,0,0,0,77.2,350.3,2.2,36.3,275.1,1
"BRUCEELLINGTON","WR","espn","Bruce Ellington","SF",11,48,"79.3",0,0,0,0,0,0,0,0,57,597.1,3.1
"TEDGINN","WR","espn","Ted Ginn Jr.","CAR",12,49,"79.1",0,0,0,0,0,4.7,29.7,0.1,36.6,543.6,3.4
"ROBERTWOODS","WR","espn","Robert Woods","BUF",13,50,"78.7",0,0,0,0,0,2.3,14.2,0.1,47.1,554.3,3.8
"SHAUNDRAUGHN","RB","espn","Shaun Draughn","SF",10,51,"78.1",0,0,0,0,0,83,316.8,1.8,42.4,312.3,1.1
"JORDANCAMERON","TE","espn","Jordan Cameron","MIA",13,52,"77.1",0,0,0,0,0,0,0,0,45.2,546.6,3.9
"ANQUANBOLDIN","WR","espn","Anquan Boldin","DET",14,53,"76",0,0,0,0,0,0,0,0,45.2,595.3,2.9
"KYLERUDOLPH","TE","espn","Kyle Rudolph","MIN",14,54,"75.7",0,0,0,0,0,0,0,0,48.9,511.3,4.1
"CHRISTINEMICHAEL","RB","espn","Christine Michael","SEA",11,55,"75.2",0,0,0,0,0,117.7,494.4,2.8,10.5,79,0.4
"TERRELLEPRYOR","WR","espn","Terrelle Pryor","CLE",15,56,"74.9",0,0,0,0,0,3.7,23.6,0.1,39.5,539.1,3.3
"JERMAINEKEARSE","WR","espn","Jermaine Kearse","SEA",16,57,"74.6",0,0,0,0,0,0,0,0,33.4,492.3,4.3
"SANFRANCISCO49ERS","DST","espn","San Francisco 49ers","SF",16,58,"72.5",0,0,0,0,0,0,0,0,0,0,0
"MAXXWILLIAMS","TE","espn","Maxx Williams","BAL",15,59,"71.9",0,0,0,0,0,0,0,0,51,481,4
"LAQUONTREADWELL","WR","espn","Laquon Treadwell","MIN",17,60,"71.7",0,0,0,0,0,0,0,0,40.8,553.5,2.8
